"Link URL","Anchor Text","Page URL","Page Title","Affiliate Tagged","Affiliate Tag Name","ASIN","Product Name","Product Availability"
,"","https://insidefirstaid.com/bleeding/quickclot-and-celox-the-best-hemostatic-agents","Hemostatic Agents: Quickclot vs Celox vs XGauze | Inside First Aid",,,,,
,"Home","https://insidefirstaid.com/bleeding/quickclot-and-celox-the-best-hemostatic-agents","Hemostatic Agents: Quickclot vs Celox vs XGauze | Inside First Aid",,,,,
,"Bleeding","https://insidefirstaid.com/bleeding/quickclot-and-celox-the-best-hemostatic-agents","Hemostatic Agents: Quickclot vs Celox vs XGauze | Inside First Aid",,,,,
,"Peter Oldani","https://insidefirstaid.com/bleeding/quickclot-and-celox-the-best-hemostatic-agents","Hemostatic Agents: Quickclot vs Celox vs XGauze | Inside First Aid",,,,,
,"control bleeding","https://insidefirstaid.com/bleeding/quickclot-and-celox-the-best-hemostatic-agents","Hemostatic Agents: Quickclot vs Celox vs XGauze | Inside First Aid",,,,,
,"tourniquets","https://insidefirstaid.com/bleeding/quickclot-and-celox-the-best-hemostatic-agents","Hemostatic Agents: Quickclot vs Celox vs XGauze | Inside First Aid",,,,,
,"israeli bandages","https://insidefirstaid.com/bleeding/quickclot-and-celox-the-best-hemostatic-agents","Hemostatic Agents: Quickclot vs Celox vs XGauze | Inside First Aid",,,,,
,"first aid kit","https://insidefirstaid.com/bleeding/quickclot-and-celox-the-best-hemostatic-agents","Hemostatic Agents: Quickclot vs Celox vs XGauze | Inside First Aid",,,,,
,"","https://insidefirstaid.com/bleeding/quickclot-and-celox-the-best-hemostatic-agents","Hemostatic Agents: Quickclot vs Celox vs XGauze | Inside First Aid",,,,,
,"2","https://insidefirstaid.com/bleeding/quickclot-and-celox-the-best-hemostatic-agents","Hemostatic Agents: Quickclot vs Celox vs XGauze | Inside First Aid",,,,,
,"Buy Quikclot on Amazon ►","https://insidefirstaid.com/bleeding/quickclot-and-celox-the-best-hemostatic-agents","Hemostatic Agents: Quickclot vs Celox vs XGauze | Inside First Aid",true,"button-ifa-20","B00HJTH0DA","QuikClot First Aid Advanced Clotting Sponge, 25g","AMAZON"
