"Link URL","Anchor Text","Page URL","Page Title","Affiliate Tagged","Affiliate Tag Name","ASIN","Product Name","Product Availability"
"//insidefirstaid.com/","","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"https://insidefirstaid.com/","Home","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"https://insidefirstaid.com/first-aid-kit","First Aid Kit","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"https://insidefirstaid.com/about-us","Peter Oldani","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"//insidefirstaid.com/sites/default/files/sam-splints-for-sale.jpg","","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"//insidefirstaid.com/first-aid-kit/how-to-create-your-personal-first-aid-kit","first aid kit","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"https://www.amazon.com/SAM-Medical-Splint-Roll-Count/dp/B00KTKGPWI/ref=as_li_ss_tl?ie=UTF8&qid=1518715849&sr=8-4&keywords=sam+splint&linkCode=ll1&tag=button-ifa-20&linkId=f36a7370e4fb387411ab361c697c4fd8","Buy SAM Splints on Amazon ►","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",true,"button-ifa-20","B00KTKGPWI","SAM Medical Splint Roll, 2 Count","AMAZON"
"https://www.youtube.com/watch?v=n03DatoIzDs","Finger","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"https://www.youtube.com/watch?v=FK1qbcXG1tU","Thumb","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"https://www.youtube.com/watch?v=OwDtTJBldQc","Wrist/Forearm","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"https://www.youtube.com/watch?v=YRJzZ95Ddoc","Wrist/Forearm sugar-tong splint","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"http://www.youtube.com/watch?v=FWNKCs-euMU","Dislocated Elbow","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"https://www.youtube.com/watch?v=xD5MvDHBy-8","Upper arm (humerus)","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"http://youtu.be/wn0lXDqGNsQ?t=630","Dislocated Shoulder","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"//insidefirstaid.com/sites/default/files/Figure-8-SAM-Ankle-Splint-Step-2-full.jpg","","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"https://www.youtube.com/watch?v=hq29ZJz76v4","Figure 8 Ankle Splint","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"//insidefirstaid.com/sites/default/files/Figure-8-SAM-Ankle-Splint-Step-3-full.jpg","","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"//insidefirstaid.com/first-aid-kit/how-to-create-your-personal-first-aid-kit","portable first aid kit design","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"//insidefirstaid.com/bleeding/what-is-and-how-to-use-israeli-bandage","an israeli bandage","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"//insidefirstaid.com/first-aid-kit/medical-tape-buy-the-right-kind","medical tape","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"https://www.youtube.com/watch?v=w75uXVlpBk0","Single SAM full leg splint","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"https://www.youtube.com/watch?v=qLcqNLjl5tc","Double SAM full leg splint","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"https://www.youtube.com/watch?v=tq-8BFhDDWo","Knee","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"https://www.youtube.com/watch?v=9vc78IreDDc","Neck","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"//insidefirstaid.com/first-responder-equipment/the-best-leatherman-multitools-wave-rebar-wingman-and-sidekick","Multitools","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"//insidefirstaid.com/first-responder-equipment/leatherman-raptor-shears-review-and-comparison-with-other-trauma-shears","trauma shears","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"http://lwrcert.org/resources/SAMsplint_UserGuide.pdf","SAM Splint User's Guide","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"https://www.redcross.org/images/MEDIA_CustomProductCatalog/m49440095_WRFA_ERG_9781584806295.pdf","Wilderness and Remote First Aid Emergency Reference Guide","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"/first-aid-kit","First Aid Kit","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"/first-aid-kit/how-to-use-a-mylar-blanket-to-stop-hypothermia","<img typeof=""foaf:Image"" class=""image-style-related4"" src=""https://insidefirstaid.com/sites/default/files/styles/related4/public/field/image/mylar-blankets-for-sale-to-stop-hypothermia.jpg?itok=FXg141DW"" width=""206"" height=""115"" alt=""Emergency or mylar blanket"" title=""Emergency or mylar blanket"" />","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"/first-aid-kit/how-to-use-a-mylar-blanket-to-stop-hypothermia","How to Use Mylar Blankets to Stop Hypothermia","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"/first-aid-kit/medical-tape-buy-the-right-kind","<img typeof=""foaf:Image"" class=""image-style-related4"" src=""https://insidefirstaid.com/sites/default/files/styles/related4/public/field/image/best-medical-tape-surgical-comparison-of-3m-and-waterproof.jpg?itok=xD0jXdvG"" width=""206"" height=""115"" alt=""Every Injury Has a Medical Tape"" title=""Every Injury Has a Medical Tape"" />","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"/first-aid-kit/medical-tape-buy-the-right-kind","5 Different Types of Medical Tapes and How to Use Them","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"/first-aid-kit/povidone-iodine-betadine-a-powerful-antiseptic","<img typeof=""foaf:Image"" class=""image-style-related4"" src=""https://insidefirstaid.com/sites/default/files/styles/related4/public/field/image/povidone-iodine-betadine-a-powerful-antiseptic-for-wound-care.jpg?itok=Rx86K-MW"" width=""206"" height=""115"" alt=""Povidone Iodine (Betadine): A Powerful Antiseptic and Water Purifier"" title=""Povidone Iodine (Betadine): A Powerful Antiseptic and Water Purifier"" />","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"/first-aid-kit/povidone-iodine-betadine-a-powerful-antiseptic","How to Use Povidone Iodine (Betadine) as an Antiseptic","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"/first-aid-kit/re-factor-tactical-cloth-trauma-tape","<img typeof=""foaf:Image"" class=""image-style-related4"" src=""https://insidefirstaid.com/sites/default/files/styles/related4/public/field/image/re-factor-trauma-tape-for-first-aid.jpg?itok=5QPbVdzm"" width=""206"" height=""115"" alt=""Medical tape for emergencies"" />","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
"/first-aid-kit/re-factor-tactical-cloth-trauma-tape","Re Factor Tactical Cloth Trauma Tape","https://insidefirstaid.com/first-aid-kit/splinting-bone-fractures-with-a-sam-splint","How to Use a Sam Splint to Treat Bone Fractures | Inside First Aid",,,,,
